Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Var31	Var32	Var33	Var34	Var35	Var36	Var37	Var38	Var39	Var40	Var41	Var42	Var43	Var44
132963.94755723	375341.563111201	132963.94755723	0	0	132963.947557229	0	12768.3477167176	0	672.018300879871	0	132963.947557415	0	0	0	0	0	0	0	0	3447.43442978821	0	0	0	3941.3216954051	133142.074430235	0	3941.32171180254	225204.937866717	149761.283681368	375.341563111196	6657.10374920791	41826.9503520228	11980.9026945093	7032.44398519645	13439.1594727265	67827.4870573343	3391.37435286671	0	0	0	132265.657822731	0	9320.84123609403
135861.281418957	416796.463674976	135861.281418957	0	0	135824.548550745	0	13565.1737119491	0	713.956511155217	0	135795.789715087	0	0	0	0	0	0	0	0	3660.42167422908	0	0	0	4029.16264320993	136109.435867463	0	4028.25546047211	249762.494226448	166092.058660588	416.270823710747	6803.93951307561	42544.9987427448	13287.364692847	7218.26639926843	14288.3676599372	68991.8898530996	3449.59449265498	0	0	0	143384.123435152	0	9896.69563773049
138804.482671648	460505.706475627	138804.482671648	0	0	138764.215309662	0	14127.046229697	0	743.528748931422	0	138734.673737169	0	0	0	0	0	0	0	0	3812.76656787463	0	0	0	4118.89823237952	139140.800322231	0	4117.99890146799	275944.619491616	183503.171961925	459.907699152693	6955.52099796974	43392.9686121917	14680.253756954	7413.47596693537	14876.6054149611	70366.9761278783	3518.34880639392	0	0	0	154445.026864409	0	10308.5910909203
141796.451207336	506545.107899472	141796.451207336	0	0	141763.046526838	0	14707.1281080533	0	774.059374108068	0	141733.325466757	0	0	0	0	0	0	0	0	3969.3305041826	0	0	0	4210.47860329275	142234.483483058	0	4209.56484547908	303618.565254453	201906.345894211	506.030942090755	7110.18078819965	44254.2261452588	16152.5076715369	7614.20502642954	15487.4183669858	71763.6099652845	3588.18049826423	0	0	0	165965.697637565	0	10731.8935853826
144841.914433624	554983.413682253	144841.914433624	0	0	144812.296046445	0	15308.8968057414	0	805.731410828497	0	144781.658560421	0	0	0	0	0	0	0	0	4131.74878038177	0	0	0	4303.68189875965	145382.990776097	0	4302.74845836198	332707.398696617	221250.420133251	554.512331161029	7267.57290791165	45126.2407142103	17700.0336106601	7820.02350446997	16121.0725092124	73177.6876446654	3658.88438223327	0	0	0	177875.022554353	0	11171.0244802915
219385.003936415	523424.086365517	219385.003936415	0	0	218548.152471406	0	15932.8926336072	0	838.573296505641	0	217802.414617175	0	0	0	0	0	0	0	0	4300.16697230193	0	0	0	6388.36597790114	215805.85505337	0	6366.87807458053	314267.030633595	208987.575371341	523.778384389326	10753.9985315371	69392.6886242928	16719.0060297073	11241.8012169511	16778.1650065208	112528.68425561	5626.4342127805	0	0	0	188912.989791229	0	11626.3773695571
234046.58261998	552693.260924388	234046.58261998	0	0	233888.007935759	0	16579.4898645035	0	872.604729710712	0	233740.739732292	0	0	0	0	0	0	0	0	4474.68673037884	0	0	0	6869.81059241726	232069.570541164	0	6865.53518267606	331426.017249468	220398.301470896	552.37669541578	11596.2571307098	75061.8471598711	17631.8641176717	12141.1165969145	17459.0282946453	121721.914313305	6086.09571566523	0	0	0	198840.134811478	0	12098.2270858391
248842.928333021	582733.47428152	248842.928333021	0	0	248680.879602788	0	17249.1616294064	0	907.850612074024	0	248533.1214663	0	0	0	0	0	0	0	0	4655.43530894363	0	0	0	7301.27947358964	246645.052151396	0	7296.96356372662	349442.675878355	232379.379459106	582.404459797257	12324.9628043435	79923.7369550627	18590.3503567285	12899.7813176554	18164.1934039799	129606.059927128	6480.30299635642	0	0	0	208515.487613457	0	12586.9176871439
263740.579378665	613538.917150719	263740.579378665	0	0	263593.897152345	0	17942.496466604	0	944.341919294949	0	263443.6373279	0	0	0	0	0	0	0	0	4842.57080433676	0	0	0	7736.37138846649	261342.92372632	0	7732.02354876402	367941.36502326	244681.007740468	613.235608372101	13059.8024518785	84819.5357929252	19574.4806192375	13665.3787878599	18894.2579561641	137545.193177717	6877.25965888583	0	0	0	218407.015187813	0	13092.8766191327
233454.27708938	540367.341477946	233454.27708938	0	0	233775.427283499	0	18659.9634044022	0	982.103337073798	0	234079.920532814	0	0	0	0	0	0	0	0	5036.2212299543	0	0	0	6911.76796421263	233486.93556493	0	6920.40699736423	324686.001461821	215916.190972111	541.143335769701	11688.9385685616	74902.8294158916	17273.2952777689	12245.4051317322	19649.7533002613	121464.047701446	6073.20238507229	0	0	0	192657.639162148	0	13616.4499920987
246005.303561225	567425.960791458	246005.303561225	0	0	245880.970109717	0	19401.9836305127	0	1021.15703318488	0	245754.400720216	0	0	0	0	0	0	0	0	5236.49972700424	0	0	0	7241.98806660302	244642.124825953	0	7238.31008954574	340294.747006157	226296.006759095	567.157911676929	12225.8939407934	78388.5355413761	18103.6805407276	12786.5699348428	20431.0780064916	127116.54412115	6355.82720605751	0	0	0	166048.216665487	0	14157.9437063448
258538.201729037	595092.117326411	258538.201729037	0	0	258397.028717149	0	20168.7665097622	0	1061.51402682959	0	258271.858102491	0	0	0	0	0	0	0	0	5443.46417588741	0	0	0	7608.99576779627	257040.038633829	0	7605.32072051646	356868.288202594	237317.411654725	594.780480337656	12845.7945797385	82447.6917086373	18985.392932378	13434.0915834795	21238.4978024983	133698.95952752	6684.947976376	0	0	0	174094.41124956	0	14717.5142533252
271016.303369477	623354.145738286	271016.303369477	0	0	270895.473296392	0	20960.626020852	0	1103.19084320274	0	270769.970803671	0	0	0	0	0	0	0	0	5657.19807539044	0	0	0	7975.68767385269	269427.284543252	0	7972.02629622718	373848.279970229	248609.106180202	623.08046661705	13465.1799639889	86493.4721643918	19888.7284944162	14081.7914215752	22072.278330946	140259.684590906	7012.98422954529	0	0	0	182049.369713759	0	15295.3873890186
283401.145436839	652202.785436454	283401.145436839	0	0	283278.008842742	0	21777.8794674233	0	1146.20418249596	0	283153.127031541	0	0	0	0	0	0	0	0	5877.78729769358	0	0	0	8339.32305653636	281711.277814642	0	8335.6859241877	391149.573410543	260114.466318011	651.915955684237	14079.4205791313	90493.184006356	20809.1573054409	14724.9026696762	22932.8180133427	146745.703794091	7337.28518970454	0	0	0	190263.466589061	0	15891.7952863567
