WasteGenerated	CollectedPlastic	FormalCollection	InformalCollectSorting	MixedCollection	FormalSorting	ExportedWaste	ImportedWaste	CLMechanicalRecyling	OLMechanicalRecyling	ChemicalConversion	UnsortedWaste	UnsortedManagedWaste	EngineeredLandfills	ThermalEnergyRecovery	FuelsFractionChemConversion	UncollectedWaste	MismanagedWaste	OpenBurning	TerrestrialDumping	DirectToWater	UnsanitaryDumpsites	OceanLeakage	RecycledPlasticPolymers	RecycledMonomers	VirginPlasticInput	ExternalSource
0	8.71997147769923e-11	2647.29604182324	4365.8354880771	2647.30056145926	0	0	0	436.583627804637	3710.96083633941	0	3985.42906211005	114.586158569517	5707.30413532421	0	0	6784.46958585318	3870.84334443533	611713.184299447	370597.779647669	200.326600766379	3677.36789661941	61055.8747942356	423880.424511462	0	0	0
0	1.16422234248615e-10	2704.07356001016	4470.13151104784	2703.50928196049	0	0	0	446.899960043451	3798.64966036934	0	4072.39175399918	117.059915934745	17283.5330566685	0	0	7571.16754114857	3954.40952164626	1042298.6735044	633953.54010434	205.238943670263	3754.41780508442	104227.56434924	729969.241611892	0	0	0
0	1.16422244155217e-10	2762.52495517807	4586.3384906257	2761.94457892717	0	0	0	458.517651232437	3897.40003547571	0	4166.41874364649	119.762812964409	29126.5138277719	0	0	8411.50815512523	4045.71628250272	1522004.58967085	927351.606677652	210.643184971419	3841.11494687912	150544.318144022	1043969.54711603	0	0	0
0	1.16422244155217e-10	2821.87641212872	4705.22562355424	2821.29084086665	0	0	0	470.403603186436	3998.43062708471	0	4262.17895858762	122.515479337193	41242.1451440843	0	0	9295.74783835966	4138.70430515363	2053423.47822482	1252386.08949179	216.175606922834	3929.40492502555	200158.770999434	1366116.16385336	0	0	0
0	1.16422244155217e-10	2882.39139069028	4827.23409534971	2881.79057489231	0	0	0	482.601164262975	4102.10989623529	0	4360.04562709351	125.328677732869	53636.2360372502	0	0	10227.7121508776	4233.73716446595	2639368.72169168	1610777.86300459	221.857749943616	4019.64351847043	253235.071254508	1696618.4594642	0	0	0
0	1.16422244155217e-10	4732.19324251096	6722.78479252009	9328.25422613756	0	0	0	703.791249984618	5663.43888506553	0	6651.7739939971	370.162512946777	76453.8892037409	0	0	9323.19949316779	6257.30620615722	3229752.65535243	1970045.22331197	305.589064645413	5964.52260019655	310764.994345518	2090958.01111431	0	0	0
0	1.16422244155217e-10	5474.13896109949	7553.31829440761	10919.1220969931	0	0	0	829.862528553226	6339.89967717255	0	7663.98365497031	633.687935900531	126744.8689103	0	0	9553.21692801755	7021.66581838993	3797291.62116753	2316321.61129281	325.435377834476	6915.98272547798	372888.486740842	2598756.12767336	0	0	0
0	1.16422244155217e-10	6257.77084175363	8015.86808658825	12484.1214243759	0	0	0	920.839188068411	6688.36535564658	0	8528.29289103371	936.347531934212	204963.887014344	0	0	9767.51169318628	7582.85684190281	4383097.31077761	2670998.34672126	331.975820630256	10664.7530909298	436921.657468675	3150336.49812476	0	0	0
0	1.16422244155217e-10	7096.48348158439	8355.78346116908	14159.3609727812	0	0	0	1001.92143088836	6932.46654752849	0	9408.56936071171	1288.02048737645	315954.380275795	0	0	9950.01190532007	8111.67527709164	4990540.34155454	3032956.80341799	334.418066708097	20416.9055564959	502541.115459756	3737275.84329431	0	0	0
0	1.16422244155217e-10	7990.98393678887	8691.79640283846	15946.1037483954	0	0	0	1085.7211982768	7168.26306075841	0	10337.8886842612	1695.47761685102	464865.776207419	0	0	10098.5278408974	8633.10981288824	5621485.65372839	3400991.82133144	333.873685792876	38537.2332986031	569450.894137244	4353800.1790116	0	0	0
0	1.16422244155217e-10	8945.08122205092	9037.55999526093	17852.1701274449	0	0	0	1174.09100974452	7408.26230097924	0	11324.7316182141	2164.27808752545	657600.713443067	0	0	10211.26440098	9150.59912165804	6273558.219531	3773831.44473077	330.548441190782	64843.2095782168	637251.660027156	5000818.26509736	0	0	0
0	1.16422244155217e-10	9949.92308012161	9394.63199754455	19859.4940881947	0	0	0	1267.44358744799	7654.01486662895	0	12360.5631266714	2697.35655345	900378.163016823	0	0	10284.9283702038	9652.8144191013	6943300.17211166	4150081.44354225	324.096562228111	98607.8038836196	705457.400250615	5679607.89684506	0	0	0
0	1.16422244155217e-10	11012.5270680321	9763.48391752626	21982.3954838413	0	0	0	1366.01464442588	7905.74004504554	0	13452.4164691921	3300.32935026358	1199971.12981624	0	0	10318.4203702194	10141.1606865423	7627215.59372092	4528303.54136512	314.680469334339	139124.917683169	773591.202800617	6391507.16540351	0	0	0
0	1.16422244155217e-10	12128.0244805722	10144.1145703812	24211.4543331584	0	0	0	1469.98188373991	8163.26341660091	0	14595.3694266628	3976.46301736608	1563499.43132375	0	0	10309.6753947811	10607.4593809878	8321222.40587683	4906979.91448495	302.172989732395	185407.166746447	841133.461529925	7137876.23589441	0	0	0
0	1.16422244155217e-10	13299.2929650601	10536.7461415079	26551.7132606297	0	0	0	1579.55295350274	8426.57635571762	0	15791.7459336822	4730.56485772663	1998569.93659117	0	0	10256.9192945726	11049.2294256349	9020960.27613418	5284526.53404069	286.679314338538	236362.308685671	907557.4117896	7920120.37232348	0	0	0
0	1.16422244155217e-10	14264.8348108921	10941.3320674503	28491.0588597147	0	0	0	1694.90262919395	8695.46832041021	0	16808.3650431356	5373.26528877527	2504660.6463204	0	0	10045.9167046027	11424.9148478197	9716376.45535325	5657253.01378507	278.556789266095	289510.890247405	972441.293235468	8738794.44771726	0	0	0
0	1.16422244155217e-10	15222.91164904	11358.1027649725	30407.6522617266	0	0	0	1816.24707202164	8969.94499163266	0	17810.9188882387	6049.47397922256	3075671.46580027	0	0	9788.3050106998	11751.4405214742	10397870.0850456	6021351.63275291	268.434099342051	342770.392156623	1035786.93312718	9593903.27230599	0	0	0
0	1.16422244155217e-10	16163.0129399139	11786.8742007888	32288.5379722029	0	0	0	1943.73784415306	9249.67290016653	0	18794.3757492216	6759.46898213066	3716025.97551629	0	0	9486.95276985841	12025.0872286843	11058735.9026438	6375192.56399417	256.135917874845	393648.694181166	1096920.49958542	10486935.8033939	0	0	0
0	1.16422244155217e-10	17074.8472984575	12227.6931906219	34113.4045693802	0	0	0	2077.56362864012	9534.5125837484	0	19748.5301604025	7497.72386817728	4428822.57775906	0	0	9143.60438504274	12241.2861346913	11692599.4713144	6717197.66142574	241.882167250722	439805.593320357	1155313.02005706	11419229.2608267	0	0	0
0	1.16422244155217e-10	17945.7705496771	12680.4328726481	35856.0346377792	0	0	0	2217.8778853999	9824.16192577091	0	20660.0498299201	8257.17323787682	5216526.60093394	0	0	8760.86573203142	12393.7972027143	12292858.5738682	7045882.20790691	225.824295859579	478666.249881997	1210438.08707387	12392131.1815944	0	0	0
0	1.16422244155217e-10	18764.2715876472	13145.2580551542	37496.1803625085	0	0	0	2364.90362267705	10118.6358735374	0	21518.7851421827	9030.96084623921	6080983.27009059	0	0	8341.11161170074	12479.2960264977	12852761.4189613	7359809.95383221	208.198395202069	507514.733700204	1261783.35984186	13407018.9557478	0	0	0
